RareDropTable=true
3325, 1, 1, 0
562, 3, 3, 1
560, 2, 2, 1
557, 4, 4, 2
565, 1, 2, 2
5281, 1, 1, 2
5294, 1, 1, 2
5297, 1, 1, 2
5104, 1, 1, 2
5100, 1, 1, 2
5292, 1, 1, 2
5282, 1, 2, 2
5106, 1, 1, 2
5323, 1, 1, 2
5293, 1, 1, 2
5296, 1, 1, 2
5105, 1, 1, 2
5311, 1, 1, 2
5280, 1, 1, 3
5298, 1, 1, 3
21620, 2, 2, 3
5321, 1, 1, 3
12176, 1, 1, 3
5299, 1, 1, 3
5303, 1, 1, 3
5302, 1, 1, 4
5301, 1, 1, 4
5295, 1, 1, 4
201, 1, 1, 1
207, 1, 1, 2
203, 1, 1, 2
199, 1, 1, 2
205, 1, 1, 2
209, 1, 1, 3
213, 1, 1, 3
211, 1, 1, 3
215, 1, 1, 3
217, 1, 1, 4
2485, 1, 1, 4
995, 15, 15, 1
1361, 1, 1, 2
2801, 1, 1, 2
1440, 1, 1, 3
30139, 1, 1, 3
30140, 1, 1, 3
30141, 1, 1, 3
37227, 3, 6, 2
18778, 1, 1, 4
