RareDropTable=false
35199, 6, 9, 1
3024, 7, 10, 1
6685, 7, 10, 1
1247, 20, 54, 2
1127, 15, 66, 2
1391, 62, 247, 2
31881, 25, 25, 2
1515, 303, 499, 2
1513, 210, 689, 2
1747, 102, 258, 2
1444, 71, 281, 2
15270, 109, 300, 2
383, 114, 150, 2
451, 50, 155, 2
2363, 25, 54, 2
2485, 43, 60, 2
217, 42, 102, 2
1631, 23, 46, 2
31867, 30, 65, 2
30209, 61, 222, 2
29863, 3, 4, 2
989, 10, 32, 2
35202, 1, 1, 1
35203, 1, 1, 2
35204, 1, 1, 3
18778, 1, 1, 4
35201, 1000, 1750, 1
35159, 1, 1, 2
35165, 1, 1, 2
35167, 1, 1, 2
35161, 1, 1, 2
35163, 1, 1, 2
35189, 1, 1, 2
35195, 1, 1, 2
35197, 1, 1, 2
35191, 1, 1, 2
35193, 1, 1, 2
35174, 1, 1, 2
35180, 1, 1, 2
35182, 1, 1, 2
35176, 1, 1, 2
35178, 1, 1, 2
35148, 1, 1, 2
