15276, 2, 5, 1
402, 18, 31, 1
378, 61, 124, 1
372, 42, 87, 1
314, 86, 216, 1
313, 123, 256, 1
412, 11, 23, 1
527, 38, 57, 1
1445, 5, 11, 2
572, 13, 18, 2
990, 4, 8, 2
1128, 7, 12, 2
1164, 8, 13, 2
1080, 8, 11, 2
1618, 12, 26, 2
1632, 8, 15, 2
995, 123841, 218547, 2
384, 57, 117, 2
15271, 42, 95, 2
396, 37, 62, 2
390, 23, 46, 2
30574, 23, 69, 2
30575, 23, 69, 2
26325, 1, 1, 3
26326, 1, 1, 3
26327, 1, 1, 3
26346, 1, 1, 3
26347, 1, 1, 3
26348, 1, 1, 3
26337, 1, 1, 3
26338, 1, 1, 3
26339, 1, 1, 3
33886, 1, 1, 3
33889, 1, 1, 3
33879, 1, 1, 3
33882, 1, 1, 3
18839, 1, 1, 4
