RareDropTable=false
35049, 1, 1, 1
35054, 1, 1, 1
35053, 1, 1, 1
35051, 1, 1, 1
35052, 1, 1, 1
35050, 1, 1, 2
24846, 50, 50, 2
34957, 1, 1, 3
35077, 1, 1, 3
35063, 1, 1, 3
35055, 1, 1, 3
35067, 1, 1, 3
35065, 1, 1, 3
35071, 1, 1, 3
35073, 1, 1, 3
35075, 1, 1, 3
35057, 1, 1, 3
35061, 1, 1, 3
35069, 1, 1, 3
35079, 1, 1, 3
35059, 1, 1, 3
38013, 1, 1, 3
38015, 1, 1, 3
38009, 1, 1, 3
38031, 1, 1, 3
38019, 1, 1, 3
38021, 1, 1, 3
38029, 1, 1, 3
38027, 1, 1, 3
38025, 1, 1, 3
38023, 1, 1, 3
38011, 1, 1, 3
38033, 1, 1, 3
38017, 1, 1, 3
